address,accountno,pin,sale_date_end,Sales Price,impvac,style,year_built,Imp Size SqFt,Lot Size Acres,streetno,streetalp,streetdir,streetsuf,streetname,addition_n,address_zip
420 N 179 PLAZA CR,R2531221544,2531221544,7/20/2012,517128,Vacant,,,,0.9893,420,,N,CR,179 PLAZA,WEST VILLAGE POINTE REPLAT 7,681180000
1822 N 169 PA,R0711303014,711303014,3/17/2017,450000,Improved,Office Building,2010,2600,,1822,,N,PLAZA,169,BRIAR HILLS OFFICE PARK CONDOMINIUM,681180000
16880 PARKER PA,R0713203040,713203040,3/30/2010,322122,Vacant,,,,0.8384,16880,,,PLAZA,PARKER,BRIAR SQUARE REPLAT 1,681180000
1820 N 169 PA,R0711303012,711303012,11/22/2021,295000,Improved,Office Building,2007,1536,,1820,,N,PLAZA,169,BRIAR HILLS OFFICE PARK CONDOMINIUM,681180000
15751 WEST DODGE RD,R1216948600,1216948600,6/8/2012,280000,Vacant,,,,0.53,15751,,,RD,WEST DODGE,GREENFIELDS PLAZA REPLAT*,681180000
1815 N 169 PA,R0711303028,711303028,6/23/2017,270000,Improved,Office Building,2007,1536,,1815,,N,PLAZA,169,BRIAR HILLS OFFICE PARK CONDOMINIUM,681180000
1815 N 169 PA,R0711303026,711303026,9/21/2018,255000,Improved,Office Building,2007,1536,,1815,,N,PLAZA,169,BRIAR HILLS OFFICE PARK CONDOMINIUM,681180000
1824 N 169 PA,R0711303016,711303016,11/28/2011,255000,Improved,Office Building,2007,1536,,1824,,N,PLAZA,169,BRIAR HILLS OFFICE PARK CONDOMINIUM,681180000
816 S 169 ST,R1934600432,1934600432,12/14/2010,245000,Vacant,,,,0.4387,816,,S,ST,169,PACIFIC SPRINGS VISTA REP 1*,681180000
15781  WEST DODGE RD,R1216948508,1216948508,2/7/2020,241875,Vacant,,,,0.49,15781,,,RD,WEST DODGE,GREENFIELDS PLAZA,681180000
1808 N 175 PA,R0739456794,739456794,1/10/2018,230000,Improved,Clubhouse,2011,1735,0.61,1808,,N,PLAZA,175,CAMDEN GROVE REP 1,681180000
,R1216948504,1216948504,8/3/2016,195000,Vacant,,,,0.37,15801,,,RD,WEST DODGE,GREENFIELDS PLAZA,681180000
15705  WEST DODGE RD,R1216948520,1216948520,7/31/2020,109540,Vacant,,,,0.28,15705,,,RD,WEST DODGE,GREENFIELDS PLAZA,681180000
6829 N 72 ST,R2730002659,2730002659,8/24/2017,17421222.2,Improved,Medical Offices,1969,125945,,6829,,N,ST,72,,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,12/17/2015,6435000,Improved,Mini Warehouse,2005,120840,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
10010 SCOTT CR,R0808840251,808840251,9/30/2013,5650000,Improved,Industrial Flex Mall Building,2005,117514,6.06,10010,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 7,681220000
7200 WORLD COMMUNICATIONS DR,R2544755500,2544755500,11/15/2010,3850000,Improved,Office Building,1994,40836,4.21,7200,,,DR,WORLD COMMUNICATIONS,WORLD COMMUNICATIONS PARK,681220000
7200 WORLD COMMUNICATIONS DR,R2544755500,2544755500,11/15/2010,3850000,Improved,Office Building,1994,40836,4.21,7200,,,DR,WORLD COMMUNICATIONS,WORLD COMMUNICATIONS PARK,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,6/24/2022,3600000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,4/30/2021,2650000,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
9939  REDICK CR,R2245254691,2245254691,10/5/2017,2411500,Improved,Neighborhood Shopping Center,2004,22000,2.3,9939,,,CR,REDICK,STARWOOD SOUTH REPLAT,681220000
6901 N 102 CR,R0808020096,808020096,1/31/2018,1570000,Improved,Neighborhood Shopping Center,2005,10606,1.8141,6901,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
6901 N 102 CR,R0808020096,808020096,1/31/2018,1570000,Improved,Neighborhood Shopping Center,2005,10606,1.8141,6901,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
6901 N 102 CR,R0808020096,808020096,1/31/2018,1570000,Improved,Neighborhood Shopping Center,2005,10606,1.8141,6901,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
6901 N 102 CR,R0808020096,808020096,1/31/2018,1570000,Improved,Neighborhood Shopping Center,2005,10606,1.8141,6901,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
6901 N 102 CR,R0808020096,808020096,1/31/2018,1570000,Improved,Neighborhood Shopping Center,2005,10606,1.8141,6901,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
6901 N 102 CR,R0808020096,808020096,1/31/2018,1570000,Improved,Neighborhood Shopping Center,2005,10606,1.8141,6901,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
7071 N 87 ST,R0934620150,934620150,11/30/2011,1273000,Improved,Service Garage,2004,22120,3.822,7071,,N,ST,87,DOUBLE D INDUSTRIAL PARK REP*,681220000
7071 N 87 ST,R0934620150,934620150,10/19/2011,1200000,Improved,Service Garage,2004,22120,3.822,7071,,N,ST,87,DOUBLE D INDUSTRIAL PARK REP*,681220000
6950 N 94 PA,R2321820950,2321820950,8/9/2017,744684,Improved,Service Garage,2003,13152,0.91,6950,,N,PLAZA,94,THOMAS CREEK BUSINESS PARK,681220000
8551  WHITMORE CR,R0934620054,934620054,1/4/2021,730000,Improved,Storage Warehouse,2016,3192,2.28,8551,,,CR,WHITMORE,DOUBLE D INDUSTRIAL PARK,681220000
8551  WHITMORE CR,R0934620054,934620054,1/4/2021,730000,Improved,Storage Warehouse,2016,3192,2.28,8551,,,CR,WHITMORE,DOUBLE D INDUSTRIAL PARK,681220000
6609 N 99 ST,R2245250652,2245250652,10/21/2021,642983,Vacant,,,,1.3419,6609,,N,ST,99,STARWOOD SOUTH REPLAT 3,681220000
9810 REDICK AV,R2245250650,2245250650,10/14/2015,600000,Vacant,,,,1.0982,9810,,,AV,REDICK,STARWOOD SOUTH REPLAT 3,681220000
9615  REDICK AV,R2245300563,2245300563,7/15/2019,460000,Vacant,,,,2.0002,9615,,,AV,REDICK,STARWOOD SOUTH REPLAT 2,681220000
7121 N 102 CR,R0808020083,808020083,4/20/2022,439084,Vacant,,,,1.12,7121,,N,CR,102,CHERRY HILLS VILLAGE REPLAT,681220000
9615  REDICK AV,R2245300563,2245300563,2/23/2018,400000,Vacant,,,,2.0002,9615,,,AV,REDICK,STARWOOD SOUTH REPLAT 2,681220000
,R0934620058,934620058,11/23/2016,377000,Vacant,,,,2.4,,,,,,DOUBLE D INDUSTRIAL PARK,681220000
,R0808745404,808745404,8/5/2016,358420,Vacant,,,,2.057,10043,,,CR,SCOTT,CHERRY HILLS BUSINESS PARK REP 3*,681220000
6730  WENNINGHOFF RD,R2315512554,2315512554,9/10/2021,340000,Vacant,,,,2.2407,6730,,,RD,WENNINGHOFF,,681220000
8551 WHITMORE CR,R0934620054,934620054,3/3/2015,230000,Improved,Parking Lot,2005,70000,2.28,8551,,,CR,WHITMORE,DOUBLE D INDUSTRIAL PARK,681220000
8551 WHITMORE CR,R0934620054,934620054,3/3/2015,230000,Improved,Parking Lot,2005,70000,2.28,8551,,,CR,WHITMORE,DOUBLE D INDUSTRIAL PARK,681220000
7525 N 101 ST,R2015165514,2015165514,7/9/2019,194000,Vacant,Office Building,2020,7686,1.0137,7525,,N,ST,101,PLAZA 133,681220000
,R0142460016,142460016,1/4/2016,165000,Improved,Office Building,1969,1900,0.24,9025,,,ST,FREMONT,LANDS,681220000
6806 N 92 ST,R1417730000,1417730000,9/23/2015,138200,Improved,Church,1920,3121,0.85,6806,,N,ST,92,IRVINGTON,681220000
12121 N 72 ST,R1840525102,1840525102,2/26/2021,130000,Improved,Maintenance Hanger,1945,7514,1.064,12121,,N,ST,72,NORTHERN HILLS BUSINESS PARK REP 1,681220000
12201 N 72 ST,R1840525127,1840525127,6/13/2022,75000,Vacant,,,,1.035,12201,,N,ST,72,NORTHERN HILLS BUSINESS PARK REP 2,681220000
6612 IRVINGTON RD,R1417950002,1417950002,6/22/2015,72488,Improved,Retail Store,1900,931,0.1,6612,,,RD,IRVINGTON,IRVINGTON,681220000
6612 IRVINGTON RD,R1417950002,1417950002,6/22/2015,72488,Improved,Retail Store,1900,931,0.1,6612,,,RD,IRVINGTON,IRVINGTON,681220000
12001 N 72 ST,R1840525081,1840525081,7/15/2015,60000,Improved,Storage Hanger,1996,5678,0.647,12001,,N,ST,72,NORTHERN HILLS BUSINESS PARK,681220000
12005 N 72 ST,R1840525083,1840525083,1/16/2012,60000,Improved,Office Building,1945,7374,0.714,12005,,N,ST,72,NORTHERN HILLS BUSINESS PARK,681220000
6556 N 90 PA,R1417705020,1417705020,11/30/2011,53000,Vacant,,,,2.1987,6556,,N,PLAZA,90,IRVINGTON CROSSING REP 2,681220000
11919 N 72 ST,R1840525079,1840525079,9/2/2014,50000,Improved,Storage Hanger,1976,12040,0.832,11919,,N,ST,72,NORTHERN HILLS BUSINESS PARK,681220000
12303 N 72 ST,R1840525125,1840525125,7/13/2017,40000,Improved,Storage Hanger,1945,12588,1.44,12303,,N,ST,72,NORTHERN HILLS BUSINESS PARK REP 2,681220000
1125 S 103 ST,R1919875582,1919875582,9/18/2015,33900000,Improved,Office Building,1987,303221,4.31,1125,,S,ST,103,ONE PACIFIC PLACE,681240000
2120 S 72 ST,R0134170004,134170004,6/1/2017,18749999.98,Improved,Office Building,1976,428265,5.08,2120,,S,ST,72,LANDS,681240000
2120 S 72 ST,R0134170004,134170004,6/1/2017,18749999.98,Improved,Office Building,1976,428265,5.08,2120,,S,ST,72,LANDS,681240000
7270 CEDAR ST,R1023445100,1023445100,5/1/2013,10300000,Improved,Hotel - Full Service,1980,193402,3.7,7270,,,ST,CEDAR,EMBASSY SUITES SUB*,681240000
6952  GROVER               ST,R1740570210,1740570210,5/5/2022,4435278,Vacant,,,,8.6729,6952,,,ST,GROVER,MH LANDING,681240000
1515 S 75 ST,R0134000003,134000003,6/17/2015,3750000,Improved,Office Building,1980,52367,5.87,1515,,S,ST,75,LANDS,681240000
8417  WEST CENTER RD,R1713030505,1713030505,11/20/2020,2800000,Improved,Neighborhood Shopping Center,1975,35496,2.49,8417,,,RD,WEST CENTER,MARSHALL & PAHL ADD,681240000
2808 S 72 ST,R0136470004,136470004,5/6/2021,2660000,Vacant,,,,3.65,2808,,S,ST,72,LANDS,681240000
8051  WEST CENTER RD,R1915585302,1915585302,12/29/2021,2500000,Improved,Medical Offices,1979,15157,1.3607,8051,,,RD,WEST CENTER,OMAHA SURGICAL CENTER*,681240000
7929  WEST CENTER RD,R0644195000,644195000,2/4/2022,2300000,Improved,Storage Warehouse,1989,16694,1.25,7929,,,RD,WEST CENTER,BOCKS REPLAT,681240000
8424  WEST CENTER RD,R0758070000,758070000,1/2/2019,1950000,Improved,Office Building,1959,24036,0.74,8424,,,RD,WEST CENTER,CEDAR HILLS ADD,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
8455 FREDERICK ST,R1139250970,1139250970,10/1/2012,1540000,Improved,Neighborhood Shopping Center,1976,22556,1.5756,8455,,,ST,FREDERICK,FREDERICK PLAZA REPLAT 1,681240000
7315 MERCY RD,R0801461503,801461503,3/13/2012,1310000,Improved,Office Building,1967,9894,1.5458,7315,,,RD,MERCY,CENTER STREET PLAZA,681240000
3434 S 84 ST,R1014500700,1014500700,3/1/2022,1030000,Improved,Storage Warehouse,1969,10475,1.7293,3434,,S,ST,84,84TH & GROVER PLACE,681240000
1235 S 75 ST,R2410890025,2410890025,5/1/2015,855000,Improved,Office Building,2000,4298,0.62,1235,,S,ST,75,WASKOW OFFICE PARK,681240000
7016  GROVER               ST,R1740570204,1740570204,5/23/2022,817142,Vacant,,,,0.5066,7016,,,ST,GROVER,MH LANDING,681240000
2829 S 82 AV,R2507755000,2507755000,2/4/2015,700000,Improved,Parking Lot,1987,78000,2,2829,,S,AV,82,WESTGATE PROFESSIONAL PARK,681240000
8288  HASCALL ST,R2507750408,2507750408,4/19/2021,665000,Improved,Office Building,1960,5400,0.66,8288,,,ST,HASCALL,WESTGATE ADD,681240000
8288 HASCALL ST,R2507750408,2507750408,9/30/2015,650000,Improved,Office Building,1960,10800,0.66,8288,,,ST,HASCALL,WESTGATE ADD,681240000
